Date,Open,High,Low,Close,Volume,Count,WAP
20230322 13:19:50 America/Los_Angeles,27151.875,27161.875,27151.875,27158.375,-1,-1,-1
20230322 13:19:55 America/Los_Angeles,27158.375,27158.375,27150.125,27150.125,-1,-1,-1
20230322 13:20:00 America/Los_Angeles,27150.125,27150.125,27145.5,27147.125,-1,-1,-1
20230322 13:20:05 America/Los_Angeles,27147.125,27147.125,27121.875,27121.875,-1,-1,-1
20230322 13:20:10 America/Los_Angeles,27121.875,27121.875,27121.875,27121.875,-1,-1,-1
20230322 13:20:15 America/Los_Angeles,27121.875,27121.875,27118.125,27118.125,-1,-1,-1
20230322 13:20:20 America/Los_Angeles,27118.125,27118.125,27097.75,27097.875,-1,-1,-1
20230322 13:20:25 America/Los_Angeles,27097.875,27120.375,27094.875,27120.375,-1,-1,-1
20230322 13:20:30 America/Los_Angeles,27120.375,27122.375,27110.5,27113.125,-1,-1,-1
20230322 13:20:35 America/Los_Angeles,27113.125,27113.125,27098.875,27103.0,-1,-1,-1
20230322 13:20:40 America/Los_Angeles,27103.0,27103.625,27102.625,27102.75,-1,-1,-1
20230322 13:20:45 America/Los_Angeles,27102.75,27102.75,27102.375,27102.375,-1,-1,-1
20230322 13:20:50 America/Los_Angeles,27102.375,27102.375,27102.375,27102.375,-1,-1,-1
20230322 13:20:55 America/Los_Angeles,27102.375,27107.375,27102.375,27107.375,-1,-1,-1
20230322 13:21:00 America/Los_Angeles,27107.375,27128.375,27107.375,27128.375,-1,-1,-1
20230322 13:21:05 America/Los_Angeles,27128.375,27128.375,27123.375,27123.375,-1,-1,-1
20230322 13:21:10 America/Los_Angeles,27123.375,27123.375,27123.375,27123.375,-1,-1,-1
20230322 13:21:15 America/Los_Angeles,27123.375,27138.125,27123.375,27138.125,-1,-1,-1
20230322 13:21:20 America/Los_Angeles,27138.125,27149.125,27138.125,27148.875,-1,-1,-1
20230322 13:21:25 America/Los_Angeles,27148.875,27152.625,27148.875,27152.625,-1,-1,-1
20230322 13:21:30 America/Los_Angeles,27152.625,27156.375,27152.625,27156.125,-1,-1,-1
20230322 13:21:35 America/Los_Angeles,27156.125,27158.375,27156.125,27157.875,-1,-1,-1
20230322 13:21:40 America/Los_Angeles,27157.875,27166.375,27155.625,27158.75,-1,-1,-1
20230322 13:21:45 America/Los_Angeles,27158.75,27159.75,27149.875,27150.875,-1,-1,-1
20230322 13:21:50 America/Los_Angeles,27150.875,27151.0,27126.0,27126.75,-1,-1,-1
20230322 13:21:55 America/Los_Angeles,27126.75,27133.0,27122.625,27125.25,-1,-1,-1
20230322 13:22:00 America/Los_Angeles,27125.25,27125.75,27116.25,27116.625,-1,-1,-1
20230322 13:22:05 America/Los_Angeles,27116.625,27120.125,27114.125,27115.625,-1,-1,-1
20230322 13:22:10 America/Los_Angeles,27115.625,27115.625,27108.25,27108.25,-1,-1,-1
20230322 13:22:15 America/Los_Angeles,27108.25,27115.625,27108.25,27115.625,-1,-1,-1
20230322 13:22:20 America/Los_Angeles,27115.625,27115.625,27112.0,27112.375,-1,-1,-1
20230322 13:22:25 America/Los_Angeles,27112.375,27116.875,27112.375,27116.875,-1,-1,-1
20230322 13:22:30 America/Los_Angeles,27116.875,27116.875,27116.875,27116.875,-1,-1,-1
20230322 13:22:35 America/Los_Angeles,27116.875,27116.875,27116.875,27116.875,-1,-1,-1
20230322 13:22:40 America/Los_Angeles,27116.875,27116.875,27098.75,27102.875,-1,-1,-1
20230322 13:22:45 America/Los_Angeles,27102.875,27103.5,27100.125,27102.875,-1,-1,-1
20230322 13:22:50 America/Los_Angeles,27102.875,27116.875,27102.875,27116.875,-1,-1,-1
